Company	Location	Date	Level Name	Tag	Years of Experience	Total / At Company	Negotiated	Total Compensation (USD)	Base	Stock (yr)	Bonus
	Cupertino, CA 	 11/14/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$217,750	175K 	 21.3K 	 21.5K
	Sunnyvale, CA 	 11/14/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$420,000	180K 	 240K 	 N/A
	New York, NY 	 11/13/2022	SDE I	ML / AI	2 yrs 	0 yrs	0	$210,000	180K 	 N/A 	 30K
	Fayetteville, AR 	 11/08/2022	SDE II	ML / AI	1 yr 	0 yrs	0	$280,000	185K 	 46.5K 	 48.5K
	New York, NY 	 11/03/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$197,000	180K 	 17K 	 N/A
	Austin, TX 	 11/01/2022	SDE I	ML / AI	2 yrs 	0 yrs	0	$179,000	140K 	 22K 	 17K
	Seattle, WA 	 10/31/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$251,000	160K 	 52.5K 	 38.5K
	Boston, MA 	 10/12/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$235,000	155K 	 10K 	 70K
	Seattle, WA 	 10/11/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$242,496	160K 	 47.5K 	 35K
	Seattle, WA 	 10/11/2022	SDE II	ML / AI	1 yr 	1 yr	0	$292,000	152K 	 70K 	 70K
	Seattle, WA 	 10/10/2022	SDE II	ML / AI	1 yr 	0 yrs	0	$370,000	180K 	 110K 	 80K
	Los Angeles, CA 	 10/06/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$325,000	160K 	 87.5K 	 77.5K
	Seattle, WA 	 10/05/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$313,200	193.2K 	 120K 	 N/A
	New York, NY 	 10/03/2022	SDE I	ML / AI	2 yrs 	1 yr	0	$237,000	180K 	 30K 	 27K
	New York, NY 	 10/03/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$174,000	134K 	 40K 	 N/A
	Seattle, WA 	 10/02/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$175,000	150K 	 25K 	 N/A
	Santa Clara, CA 	 09/18/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$433,000	200K 	 125K 	 108K
	Sunnyvale, CA 	 09/18/2022	L3	ML / AI	0 yrs 	0 yrs	0	$275,000	175K 	 N/A 	 100K
	Santa Clara, CA 	 09/16/2022	SDE I	ML / AI	0 yrs 	0 yrs	+$15K	$230,009	180K 	 30K 	 20K
	Seattle, WA 	 09/15/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$166,750	129K 	 23.8K 	 14K
	Santa Clara, CA 	 09/15/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$453,000	200K 	 125K 	 128K
	New York, NY 	 09/14/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$281,750	175K 	 62.5K 	 44.3K
	Bellevue, WA 	 09/13/2022	SDE I	ML / AI	1 yr 	1 yr	0	$153,000	130K 	 23K 	 N/A
	Los Angeles, CA 	 09/11/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$260,000	165K 	 95K 	 N/A
	New York, NY 	 09/10/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$195,173	141.9K 	 30.6K 	 22.6K
	Seattle, WA 	 09/08/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$176,750	129K 	 27.8K 	 20K
	Seattle, WA 	 09/01/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$183,375	129K 	 24.4K 	 30K
	Palo Alto, CA 	 08/30/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$234,000	148K 	 30K 	 56K
	Sunnyvale, CA 	 08/29/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$389,452	192.2K 	 111K 	 86.3K
	Seattle, WA 	 08/26/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$169,834	127.9K 	 36.1K 	 5.8K
	Westborough, MA 	 08/26/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$161,576	118.8K 	 39.2K 	 3.6K
	San Jose, CA 	 08/24/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$320,000	180K 	 100K 	 40K
	Seattle, WA 	 08/24/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$175,000	130K 	 45K 	 N/A
	Seattle, WA 	 08/12/2022	SDE I	ML / AI	1 yr 	1 yr	0	$157,500	133K 	 24.5K 	 N/A
	Santa Clara, CA 	 08/12/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$205,742	148.4K 	 32K 	 25.3K
	Palo Alto, CA 	 08/10/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$131,250	130K 	 1.3K 	 N/A
	Seattle, WA 	 08/08/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$130,000	130K 	 N/A 	 N/A
	Seattle, WA 	 08/02/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$185,280	130.5K 	 33.3K 	 21.5K
	San Luis Obispo, CA 	 08/01/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$167,000	129K 	 23.8K 	 14.3K
	Seattle, WA 	 08/01/2022	SDE II	ML / AI	1 yr 	0 yrs	0	$450,500	210K 	 129.3K 	 111.3K
	Seattle, WA 	 08/01/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$302,500	150K 	 87.5K 	 65K
	Seattle, WA 	 07/31/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$245,000	165K 	 80K 	 N/A
	Arlington, VA 	 07/27/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$185,444	129K 	 23.8K 	 32.7K
	Seattle, WA 	 07/26/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$126,684	126.7K 	 N/A 	 N/A
	New York, NY 	 07/24/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$247,000	136K 	 81K 	 30K
	Seattle, WA 	 07/24/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$168,935	129K 	 23.8K 	 16.2K
	Seattle, WA 	 07/21/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$228,556	136K 	 65.6K 	 27K
	Seattle, WA 	 07/18/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$161,000	125K 	 22.5K 	 13.5K
	San Francisco, CA 	 07/13/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$338,250	195K 	 83.3K 	 60K
	Seattle, WA 	 07/09/2022	SDE I	ML / AI	1 yr 	1 yr	0	$163,000	130K 	 10K 	 23K
	Pittsburgh, PA 	 07/06/2022	SDE I	ML / AI	2 yrs 	0 yrs	0	$173,500	125K 	 30.5K 	 18K
	Seattle, WA 	 07/01/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$112,728	112.7K 	 N/A 	 N/A
	New York, NY 	 07/01/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$342,925	190.6K 	 80.5K 	 71.8K
	Seattle, WA 	 07/01/2022	SDE II	ML / AI	1 yr 	0 yrs	0	$448,750	210K 	 129.3K 	 109.5K
	Seattle, WA 	 07/01/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$189,250	160K 	 29.3K 	 N/A
	Austin, TX 	 07/01/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$171,750	130K 	 25K 	 16.8K
	New York, NY 	 06/27/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$186,750	142K 	 27.5K 	 17.3K
	Arlington, VA 	 06/27/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$155,000	130K 	 5K 	 20K
	New York, NY 	 06/20/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$234,500	160K 	 40K 	 34.5K
	Seattle, WA 	 06/03/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$320,000	197K 	 123K 	 N/A
	San Francisco, CA 	 05/31/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$237,410	160K 	 42.4K 	 35K
	Cambridge, MA 	 05/31/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$375,000	180K 	 108.5K 	 86.5K
	Cambridge, MA 	 05/26/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$187,549	149K 	 20.5K 	 18K
	New York, NY 	 05/24/2022	SDE I	ML / AI	0 yrs 	0 yrs	+$15K	$214,950	175K 	 25K 	 15K
	Seattle, WA 	 05/21/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$184,700	140.7K 	 44K 	 N/A
	Santa Clara, CA 	 05/20/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$290,600	180.6K 	 110K 	 N/A
	Cupertino, CA 	 05/19/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$212,500	160K 	 30K 	 22.5K
	Sunnyvale, CA 	 05/17/2022	L3	ML / AI	1 yr 	0 yrs	0	$200,421	155K 	 23.9K 	 21.5K
	Seattle, WA 	 05/09/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$170,250	130K 	 23.8K 	 16.5K
	Sunnyvale, CA 	 05/05/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$209,630	148.4K 	 32K 	 29.2K
	New York, NY 	 05/01/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$311,750	180K 	 75K 	 56.8K
	Boston, MA 	 04/30/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$157,000	132K 	 25K 	 N/A
	Palo Alto, CA 	 04/13/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$367,000	192K 	 175K 	 N/A
	Boston, MA 	 04/13/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$172,500	133K 	 27K 	 12.5K
	Sunnyvale, CA 	 04/11/2022	SDE II	ML / AI	1 yr 	1 yr	0	$328,100	175K 	 88K 	 65.1K
	New York, NY 	 04/09/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$263,600	177.6K 	 81K 	 5K
	Seattle, WA 	 04/08/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$254,800	150.8K 	 104K 	 N/A
	Sunnyvale, CA 	 04/05/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$205,000	142K 	 30K 	 33K
	Seattle, WA 	 03/31/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$275,000	125K 	 150K 	 N/A
	Sunnyvale, CA 	 03/30/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$300,000	175K 	 125K 	 N/A
	Seattle, WA 	 03/28/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$133,700	113.7K 	 20K 	 N/A
	Cupertino, CA 	 03/25/2022	SDE I	ML / AI	2 yrs 	0 yrs	0	$204,500	155K 	 31.3K 	 18.3K
	Seattle, WA 	 03/16/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$113,000	113K 	 N/A 	 N/A
	Raleigh, NC 	 03/01/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$181,000	135K 	 27K 	 19K
	Seattle, WA 	 03/01/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$190,438	129K 	 25K 	 36.4K
	New York, NY 	 02/28/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$214,000	175K 	 19.5K 	 19.5K
	San Francisco, CA 	 02/28/2022	SDE I	ML / AI	2 yrs 	0 yrs	0	$213,500	165K 	 25K 	 23.5K
	New York, NY 	 02/27/2022	SDE I	ML / AI	1 yr 	0 yrs	+$15K	$205,000	150K 	 31K 	 24K
	New York, NY 	 02/14/2022	SDE I	ML / AI	2 yrs 	0 yrs	0	$210,000	170K 	 20K 	 20K
	Seattle, WA 	 02/09/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$142,000	111K 	 17K 	 14K
	Austin, TX 	 02/08/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$170,000	129K 	 24K 	 17K
	Sunnyvale, CA 	 02/02/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$176,000	134K 	 26K 	 16K
	Tempe, AZ 	 02/01/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$137,500	120K 	 17.5K 	 N/A
	Seattle, WA 	 01/28/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$231,000	150K 	 38K 	 43K
	Seattle, WA 	 01/26/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$340,000	160K 	 110K 	 70K
	Seattle, WA 	 01/20/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$311,000	155K 	 88K 	 68K
	Palo Alto, CA 	 12/14/2021	L3	ML / AI	0 yrs 	0 yrs	0	$203,000	148K 	 32K 	 23K
	Boston, MA 	 12/10/2021	SDE II	ML / AI	1 yr 	1 yr	0	$343,000	152K 	 131K 	 60K
	Palo Alto, CA 	 12/09/2021	SDE II	ML / AI	2 yrs 	2 yrs	0	$320,000	170K 	 150K 	 N/A
	Seattle, WA 	 12/05/2021	SDE I	ML / AI	1 yr 	1 yr	0	$146,000	114K 	 20K 	 12K
	Seattle, WA 	 12/05/2021	SDE I	ML / AI	0 yrs 	0 yrs	0	$167,000	129K 	 24K 	 14K
	New York, NY 	 12/02/2021	SDE I	ML / AI	0 yrs 	0 yrs	0	$190,000	142K 	 28K 	 20K
	Boston, MA 	 12/01/2021	SDE I	ML / AI	1 yr 	1 yr	0	$210,000	155K 	 55K 	 N/A
	Columbus, OH 	 11/30/2021	SDE I	ML / AI	0 yrs 	0 yrs	0	$197,500	160K 	 37.5K 	 N/A
	Seattle, WA 	 11/20/2021	SDE I	ML / AI	1 yr 	1 yr	0	$142,000	112K 	 20K 	 10K
	Seattle, WA 	 11/18/2021	SDE I	ML / AI	0 yrs 	0 yrs	0	$182,000	129K 	 24K 	 29K
	Seattle, WA 	 11/16/2021	SDE I	ML / AI	0 yrs 	0 yrs	0	$152,000	120K 	 4K 	 28K
	New York, NY 	 11/08/2021	L3	ML / AI	0 yrs 	0 yrs	0	$175,000	132K 	 25K 	 18K
Nvidia	San Francisco, CA 	 12/31/2022	IC3	ML / AI	2 yrs 	2 yrs	0	$285,000	190K 	 95K 	 N/A
	New York, NY 	 11/10/2022	IC2	ML / AI	0 yrs 	0 yrs	0	$130,000	130K 	 N/A 	 N/A
	Santa Clara, CA 	 10/08/2022	IC2	ML / AI	1 yr 	0 yrs	0	$197,500	160K 	 37.5K 	 N/A
	Santa Clara, CA 	 09/13/2022	IC3	ML / AI	0 yrs 	0 yrs	0	$241,250	180K 	 53.8K 	 7.5K
	Santa Clara, CA 	 09/11/2022	IC2	ML / AI	2 yrs 	0 yrs	+$13K	$190,500	153K 	 37.5K 	 N/A
	Santa Clara, CA 	 09/10/2022	IC2	ML / AI	0 yrs 	0 yrs	0	$202,500	160K 	 37.5K 	 5K
	Santa Clara, CA 	 08/29/2022	IC2	ML / AI	2 yrs 	0 yrs	0	$202,500	160K 	 35K 	 7.5K
	Santa Clara, CA 	 08/28/2022	IC2	ML / AI	1 yr 	0 yrs	0	$197,875	157K 	 33.8K 	 7.1K
	Holmdel, NJ 	 08/18/2022	IC3	ML / AI	0 yrs 	0 yrs	0	$205,750	157K 	 42.5K 	 6.3K
	Santa Clara, CA 	 07/01/2022	IC2	ML / AI	0 yrs 	0 yrs	0	$183,250	155K 	 24.5K 	 3.8K
	Santa Clara, CA 	 06/22/2022	IC1	ML / AI	0 yrs 	0 yrs	0	$164,000	144K 	 20K 	 N/A
	Santa Clara, CA 	 05/01/2022	IC3	ML / AI	0 yrs 	0 yrs	0	$231,250	180K 	 51.3K 	 N/A
	Santa Clara, CA 	 04/30/2022	IC2	ML / AI	0 yrs 	0 yrs	0	$195,000	155K 	 33.8K 	 6.3K
	Santa Clara, CA 	 04/09/2022	IC2	ML / AI	1 yr 	1 yr	0	$185,000	140K 	 25K 	 20K
	Santa Clara, CA 	 02/28/2022	IC1	ML / AI	2 yrs 	0 yrs	0	$158,250	135K 	 19.5K 	 3.8K
	San Jose, CA 	 02/06/2022	IC2	ML / AI	0 yrs 	0 yrs	0	$191,000	155K 	 26K 	 10K
	Santa Clara, CA 	 01/10/2022	IC2	ML / AI	0 yrs 	0 yrs	0	$201,000	155K 	 26K 	 20K
	Santa Clara, CA 	 12/08/2021	IC2	ML / AI	0 yrs 	0 yrs	0	$199,000	145K 	 30K 	 24K
	Santa Clara, CA 	 12/03/2021	IC3	ML / AI	0 yrs 	0 yrs	0	$283,000	180K 	 68K 	 35K
	Santa Clara, CA 	 12/01/2021	IC1	ML / AI	0 yrs 	0 yrs	0	$164,250	138K 	 19.5K 	 6.8K
Canopy Vehicle Se...	Buffalo, NY 	 12/31/2022	-	ML / AI	2 yrs 	0 yrs	+$10K	$143,000	130K 	 N/A 	 13K
Lockheed Martin	Sunnyvale, CA 	 12/30/2022	E2	ML / AI	2 yrs 	2 yrs	0	$132,000	132K 	 N/A 	 N/A
	Fort Worth, TX 	 12/27/2022	E1	ML / AI	0 yrs 	0 yrs	0	$89,020	84K 	 N/A 	 5K
	Philadelphia, PA 	 09/16/2022	E2	ML / AI	2 yrs 	2 yrs	0	$119,000	119K 	 N/A 	 N/A
	Philadelphia, PA 	 08/08/2022	E1	ML / AI	1 yr 	1 yr	0	$95,000	95K 	 N/A 	 N/A
	Denver, CO 	 06/01/2022	E3	ML / AI	2 yrs 	1 yr	0	$124,925	120.1K 	 N/A 	 4.8K
	Moorestown, NJ 	 03/31/2022	E2	ML / AI	0 yrs 	0 yrs	0	$106,750	100K 	 N/A 	 6.8K
	Moorestown, NJ 	 01/16/2022	Associate (Entry	ML / AI	0 yrs 	0 yrs	0	$99,000	94K 	 N/A 	 5K
Inceptio	Fremont, CA 	 12/29/2022	L4	ML / AI	2 yrs 	2 yrs	0	$140,000	140K 	 N/A 	 N/A
MITRE	West McLean, VA 	 12/28/2022	Intermediate Software Engineer	ML / AI	1 yr 	0 yrs	0	$100,000	100K 	 N/A 	 N/A
Greyscale	Fremont, CA 	 12/28/2022	L3	ML / AI	2 yrs 	0 yrs	0	$210,000	160K 	 50K 	 N/A
Capital One	Cambridge, MA 	 12/27/2022	Senior Software Eng	ML / AI	1 yr 	1 yr	0	$166,800	157.8K 	 N/A 	 9K
	Dallas, TX 	 08/29/2022	Associate Software Eng	ML / AI	0 yrs 	0 yrs	0	$125,500	115K 	 N/A 	 10.5K
	West McLean, VA 	 08/05/2022	Associate Software Eng	ML / AI	1 yr 	0 yrs	0	$121,000	121K 	 N/A 	 N/A
	West McLean, VA 	 05/31/2022	Software Eng	ML / AI	2 yrs 	0 yrs	+$12K	$162,125	149K 	 N/A 	 13.1K
	West McLean, VA 	 04/17/2022	Software Eng	ML / AI	1 yr 	1 yr	0	$148,500	143K 	 N/A 	 5.5K
	Boston, MA 	 02/28/2022	Software Eng	ML / AI	2 yrs 	0 yrs	0	$180,000	150K 	 3K 	 27K
Visa	Palo Alto, CA 	 12/27/2022	Senior Software Engineer	ML / AI	1 yr 	1 yr	0	$164,000	131K 	 20K 	 13K
	Palo Alto, CA 	 04/26/2022	Senior Software Engineer	ML / AI	2 yrs 	2 yrs	0	$133,300	119K 	 8.3K 	 6K
Wells Fargo	Charlotte, NC 	 12/24/2022	L1	ML / AI	1 yr 	1 yr	0	$85,000	75K 	 N/A 	 10K
BlackRock	New York, NY 	 12/21/2022	Analyst	ML / AI	2 yrs 	2 yrs	0	$130,000	120K 	 N/A 	 10K
Deloitte	New York, NY 	 12/21/2022	L1	ML / AI	0 yrs 	0 yrs	0	$98,125	95K 	 N/A 	 3.1K
	Boston, MA 	 12/20/2022	L1	ML / AI	0 yrs 	0 yrs	0	$100,125	97K 	 N/A 	 3.1K
Apple	San Francisco, CA 	 12/21/2022	ICT4	ML / AI	2 yrs 	0 yrs	0	$300,000	250K 	 50K 	 N/A
	Boston, MA 	 11/04/2022	ICT3	ML / AI	2 yrs 	0 yrs	0	$218,375	155K 	 50K 	 13.4K
	San Francisco, CA 	 11/03/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$279,200	177K 	 77.2K 	 25K
	Cupertino, CA 	 10/12/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$229,000	163K 	 55K 	 11K
	Cupertino, CA 	 10/11/2022	ICT3	ML / AI	1 yr 	1 yr	0	$224,500	165K 	 57.5K 	 2K
	Cupertino, CA 	 10/11/2022	ICT4	ML / AI	2 yrs 	2 yrs	0	$279,700	164K 	 100K 	 15.7K
	Cupertino, CA 	 10/05/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$325,250	185K 	 112.5K 	 27.8K
	San Francisco, CA 	 10/04/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$253,300	162K 	 80K 	 11.3K
	Seattle, WA 	 10/03/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$303,000	158K 	 145K 	 N/A
	Cupertino, CA 	 10/02/2022	ICT4	ML / AI	2 yrs 	2 yrs	0	$360,000	187K 	 148K 	 25K
	Cupertino, CA 	 09/18/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$255,000	175K 	 80K 	 N/A
	San Francisco, CA 	 09/16/2022	ICT3	ML / AI	1 yr 	1 yr	0	$255,000	175K 	 80K 	 N/A
	Cupertino, CA 	 09/01/2022	ICT4	ML / AI	2 yrs 	0 yrs	0	$283,000	180K 	 75K 	 28K
	Seattle, WA 	 08/31/2022	ICT3	ML / AI	0 yrs 	0 yrs	0	$207,125	145K 	 37.1K 	 25K
	Seattle, WA 	 08/25/2022	ICT3	ML / AI	0 yrs 	0 yrs	0	$177,500	140K 	 37.5K 	 N/A
	Cupertino, CA 	 08/23/2022	ICT3	ML / AI	2 yrs 	0 yrs	0	$300,000	175K 	 125K 	 N/A
	Cupertino, CA 	 08/20/2022	ICT2	ML / AI	1 yr 	1 yr	0	$148,225	124.1K 	 24.2K 	 N/A
	San Francisco, CA 	 08/10/2022	ICT4	ML / AI	2 yrs 	0 yrs	0	$497,500	200K 	 200K 	 97.5K
	Cupertino, CA 	 08/05/2022	ICT3	ML / AI	1 yr 	1 yr	0	$250,000	175K 	 75K 	 N/A
	Cupertino, CA 	 07/30/2022	ICT3	ML / AI	2 yrs 	2 yrs	0	$256,891	148.8K 	 88.1K 	 20K
	San Francisco, CA 	 07/24/2022	ICT2	ML / AI	0 yrs 	0 yrs	0	$96,000	96K 	 N/A 	 N/A
	Sunnyvale, CA 	 07/11/2022	ICT2	ML / AI	1 yr 	1 yr	0	$250,000	130K 	 120K 	 N/A
	New York, NY 	 07/11/2022	ICT3	ML / AI	0 yrs 	0 yrs	0	$360,000	210K 	 150K 	 N/A
	New York, NY 	 06/07/2022	ICT3	ML / AI	2 yrs 	1 yr	0	$303,000	173K 	 100K 	 30K
	Cupertino, CA 	 05/01/2022	ICT3	ML / AI	0 yrs 	0 yrs	0	$277,500	165K 	 67.5K 	 45K
	Sunnyvale, CA 	 05/01/2022	ICT3	ML / AI	0 yrs 	0 yrs	0	$272,750	179K 	 68.8K 	 25K
	Cupertino, CA 	 04/27/2022	ICT4	ML / AI	2 yrs 	0 yrs	0	$382,500	200K 	 137.5K 	 45K
	San Diego, CA 	 04/21/2022	ICT3	ML / AI	0 yrs 	0 yrs	0	$237,500	145K 	 62.5K 	 30K
	Seattle, WA 	 02/28/2022	ICT2	ML / AI	0 yrs 	0 yrs	0	$229,125	140K 	 37.1K 	 52K
	Austin, TX 	 02/02/2022	ICT2	ML / AI	1 yr 	0 yrs	0	$149,000	115K 	 24K 	 10K
	Seattle, WA 	 01/31/2022	ICT3	ML / AI	1 yr 	0 yrs	0	$203,750	145K 	 37.5K 	 21.3K
	Cupertino, CA 	 01/31/2022	ICT2	ML / AI	0 yrs 	0 yrs	0	$181,250	135K 	 37.5K 	 8.8K
	Seattle, WA 	 01/26/2022	ICT3	ML / AI	2 yrs 	1 yr	0	$167,000	125K 	 32K 	 10K
	Austin, TX 	 01/26/2022	ICT2	ML / AI	0 yrs 	0 yrs	0	$188,000	125K 	 38K 	 25K
	Cupertino, CA 	 01/12/2022	ICT2	ML / AI	0 yrs 	0 yrs	0	$196,000	143K 	 38K 	 15K
	Austin, TX 	 12/18/2021	ICT2	ML / AI	0 yrs 	0 yrs	0	$136,000	117K 	 19K 	 N/A
	Seattle, WA 	 12/08/2021	ICT3	ML / AI	2 yrs 	0 yrs	0	$296,000	155K 	 125K 	 16K
	Seattle, WA 	 12/01/2021	ICT3	ML / AI	0 yrs 	0 yrs	0	$217,875	150K 	 37.1K 	 30.8K
C.H. Robinson	St. Louis, MO 	 12/20/2022	L3	ML / AI	1 yr 	1 yr	0	$115,000	115K 	 N/A 	 N/A
Hive	San Francisco, CA 	 12/19/2022	L3	ML / AI	0 yrs 	0 yrs	0	$214,000	140K 	 60K 	 14K
	San Francisco, CA 	 11/30/2022	L3	ML / AI	0 yrs 	0 yrs	0	$214,000	140K 	 60K 	 14K
	San Francisco, CA 	 11/19/2022	L3	ML / AI	0 yrs 	0 yrs	0	$214,000	140K 	 60K 	 14K
	San Francisco, CA 	 11/12/2022	L3	ML / AI	0 yrs 	0 yrs	0	$201,075	140K 	 45.8K 	 15.3K
Pinterest	San Francisco, CA 	 12/18/2022	L4	ML / AI	2 yrs 	2 yrs	0	$250,000	180K 	 70K 	 N/A
	Palo Alto, CA 	 11/27/2022	L4	ML / AI	0 yrs 	0 yrs	0	$325,000	200K 	 125K 	 N/A
	San Francisco, CA 	 11/21/2022	L4	ML / AI	0 yrs 	0 yrs	0	$283,250	190K 	 73.3K 	 20K
	San Francisco, CA 	 05/13/2022	L3	ML / AI	0 yrs 	0 yrs	0	$228,750	165K 	 50K 	 13.8K
	Palo Alto, CA 	 02/28/2022	L3	ML / AI	1 yr 	0 yrs	0	$228,750	165K 	 50K 	 13.8K
	San Francisco, CA 	 02/17/2022	L3	ML / AI	0 yrs 	0 yrs	0	$255,000	165K 	 35K 	 55K
	Seattle, WA 	 01/21/2022	L3	ML / AI	0 yrs 	0 yrs	0	$275,000	165K 	 45K 	 65K
	Palo Alto, CA 	 01/10/2022	L3	ML / AI	0 yrs 	0 yrs	0	$270,000	165K 	 50K 	 55K
Striveworks	Austin, TX 	 12/17/2022	-	ML / AI	2 yrs 	0 yrs	0	$205,000	130K 	 55K 	 20K
Tesla	Palo Alto, CA 	 12/16/2022	P2	ML / AI	2 yrs 	0 yrs	0	$405,000	180K 	 225K 	 N/A
	Fremont, CA 	 11/23/2022	P2	ML / AI	0 yrs 	0 yrs	0	$181,750	160K 	 20K 	 1.8K
	Palo Alto, CA 	 08/31/2022	P2	ML / AI	0 yrs 	0 yrs	0	$220,000	170K 	 50K 	 N/A
	Palo Alto, CA 	 08/16/2022	P2	ML / AI	0 yrs 	0 yrs	0	$337,500	150K 	 187.5K 	 N/A
	Palo Alto, CA 	 08/09/2022	P2	ML / AI	0 yrs 	0 yrs	0	$320,000	220K 	 100K 	 N/A
	Palo Alto, CA 	 05/17/2022	P3	ML / AI	1 yr 	1 yr	0	$385,000	175K 	 210K 	 N/A
Productiv	Seattle, WA 	 12/16/2022	L1	ML / AI	1 yr 	1 yr	0	$130,000	130K 	 N/A 	 N/A
	Seattle, WA 	 11/23/2022	L1	ML / AI	1 yr 	1 yr	0	$130,000	130K 	 N/A 	 N/A
Doma	San Francisco, CA 	 12/15/2022	L1	ML / AI	2 yrs 	2 yrs	0	$235,000	150K 	 70K 	 15K
Intel	Santa Clara, CA 	 12/15/2022	Grade 5	ML / AI	2 yrs 	2 yrs	0	$214,000	134K 	 80K 	 N/A
	Santa Clara, CA 	 11/08/2022	Grade 5	ML / AI	1 yr 	1 yr	0	$187,333	154K 	 33.3K 	 N/A
	Hillsboro, OR 	 11/02/2022	Grade 7	ML / AI	1 yr 	1 yr	0	$246,132	177K 	 45K 	 24.2K
	Dallas, TX 	 10/01/2022	Grade 8	ML / AI	2 yrs 	0 yrs	0	$332,500	230K 	 N/A 	 102.5K
