EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
TECHVIRTUE LLC	MACHINE LEARNING ENGINEER	93558.0	PLANO, TX	06/30/2021	07/15/2021
PARASCRIPT LLC	MACHINE LEARNING ENGINEER	93713.0	LONGMONT, CO	04/12/2019	09/14/2019
SUITED INC	MACHINE LEARNING ENGINEER	93891.0	PULLMAN, WA	02/19/2021	02/22/2021
SUITED INC	MACHINE LEARNING ENGINEER	93891.0	AUSTIN, TX	05/08/2020	10/01/2020
ENIAC SYSTEMS INC	MACHINE LEARNING ENGINEER	94000.0	IRVING, TX	03/26/2021	04/05/2021
RAVIN IT SOLUTIONS INC	MACHINE LEARNING ENGINEER	94037.0	INDIANAPOLIS, IN	06/08/2022	10/01/2022
EXA DATA SOLUTIONS INC	MACHINE LEARNING ENGINEER	94037.0	DENVER, CO	06/18/2022	10/01/2022
ANALOG DEVICES INC	MACHINE LEARNING ENGINEER	94195.0	CAMBRIDGE, MA	03/20/2015	09/19/2015
ANTUIT INC	MACHINE LEARNING ENGINEER	94307.0	FRISCO, TX	05/28/2020	10/01/2020
BOSE CORPORATION	MACHINE LEARNING ENGINEER	94390.0	FRAMINGHAM, MA	04/24/2019	05/06/2019
DIVIS SOLUTIONS INC	MACHINE LEARNING ENGINEER	94411.0	BLOOMINGTON, IL	04/21/2022	10/01/2022
ROOT AI INC	MACHINE LEARNING ENGINEER	94500.0	WOBURN, MA	05/12/2020	10/01/2020
V3TECH SOLUTIONS INC	MACHINE LEARNING ENGINEER	94500.0	CHANDLER, AZ	06/08/2022	10/01/2022
BRAIN CORPORATION	MACHINE LEARNING ENGINEER	94640.0	SAN DIEGO, CA	03/07/2019	08/01/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	94806.0	DALLAS, TX	03/15/2019	09/14/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	94806.0	PLANO, TX	03/15/2019	09/14/2019
PLUTOSHIFT INC	MACHINE LEARNING ENGINEER	95000.0	DUBLIN, OH	10/07/2020	10/07/2020
BANJO INC	MACHINE LEARNING ENGINEER	95000.0	PARK CITY, UT	06/05/2018	06/11/2018
JETSON AI INC	MACHINE LEARNING ENGINEER	95000.0	NEW YORK, NY	03/23/2018	09/21/2018
THOUSAND PLEATEAUS INC	MACHINE LEARNING ENGINEER	95000.0	SAN FRANCISCO, CA	03/17/2015	09/16/2015
THOUSAND PLEATEAUS INC	MACHINE LEARNING ENGINEER	95000.0	SAN FRANCISCO, CA	03/18/2015	09/16/2015
SUPERMEDIAFUTURE CORP	MACHINE LEARNING ENGINEER	95000.0	LOS ANGELES, CA	04/07/2020	09/01/2020
SUPERMEDIAFUTURE CORP	MACHINE LEARNING ENGINEER	95000.0	LOS ANGELES, CA	04/07/2020	10/01/2020
HALLMARK GLOBAL TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	95000.0	MEMPHIS, TN	03/09/2021	03/17/2021
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	95000.0	NEW YORK, NY	03/03/2017	08/30/2017
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	95000.0	NEW YORK, NY	03/03/2017	08/30/2017
RADIOLOGY PARTNERS	MACHINE LEARNING ENGINEER	95000.0	COLUMBUS, OH	04/14/2021	10/01/2021
NINOH INC	MACHINE LEARNING ENGINEER	95000.0	NEW YORK, NY	01/30/2017	07/26/2017
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	95000.0	DALLAS, TX	03/13/2019	08/20/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	95000.0	DALLAS, TX	03/13/2019	08/20/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	95000.0	PLANO, TX	03/13/2019	08/20/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	95000.0	PLANO, TX	03/13/2019	08/20/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	95000.0	PLANO, TX	03/13/2019	08/20/2019
PLUTOSHIFT INC	MACHINE LEARNING ENGINEER	95000.0	DUBLIN, OH	10/06/2020	10/19/2020
QUANTIPHI INC	MACHINE LEARNING ENGINEER	95000.0	PRINCETON, NJ	06/05/2020	10/01/2020
TMC BONDS LLC	MACHINE LEARNING ENGINEER	95000.0	NEW YORK, NY	03/06/2018	09/04/2018
BREKFORD TRAFFIC SAFETY INC	MACHINE LEARNING ENGINEER	95000.0	HANOVER, MD	03/06/2019	09/05/2019
EHARMONY INC	MACHINE LEARNING ENGINEER	95000.0	LOS ANGELES, CA	03/07/2018	09/01/2018
TITAN ADVANCED ENERGY SOLUTIONS INC	MACHINE LEARNING ENGINEER	95000.0	SALEM, MA	01/06/2022	06/06/2022
SYNDIGO LLC	MACHINE LEARNING ENGINEER	95000.0	NASHVILLE, TN	03/15/2022	08/30/2022
GAPS AND BRIDGES INC	MACHINE LEARNING ENGINEER	95000.0	IRVING, TX	04/15/2022	10/01/2022
GAPS AND BRIDGES INC	MACHINE LEARNING ENGINEER	95000.0	IRVING, TX	04/18/2022	10/01/2022
IMAGINAG TECH LLC	MACHINE LEARNING ENGINEER	95000.0	BEACHWOOD, OH	04/26/2022	05/01/2022
IMAGINAG TECH LLC	MACHINE LEARNING ENGINEER	95000.0	BEACHWOOD, OH	05/02/2022	05/03/2022
INTELLISOFT TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	95000.0	DALLAS, TX	05/10/2022	10/01/2022
INTELLISOFT TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	95000.0	DALLAS, TX	05/17/2022	10/01/2022
IMAGINAG TECH LLC	MACHINE LEARNING ENGINEER	95000.0	BEACHWOOD, OH	06/15/2022	10/01/2022
IMAGINAG TECH LLC	MACHINE LEARNING ENGINEER	95000.0	BEACHWOOD, OH	06/15/2022	10/01/2022
IMAGINAG TECH LLC	MACHINE LEARNING ENGINEER	95000.0	BEACHWOOD, OH	06/15/2022	10/01/2022
THE US PHARMACOPEIAL CONVENTION	MACHINE LEARNING ENGINEER	95000.0	ROCKVILLE, MD	06/22/2022	06/22/2022
DEEPSIG INC	MACHINE LEARNING ENGINEER	95014.0	ARLINGTON, VA	04/19/2021	10/01/2021
UNITY TECHNOLOGIES SF	MACHINE LEARNING ENGINEER	95160.0	BELLEVUE, WA	01/23/2019	07/21/2019
NOD INC	MACHINE LEARNING ENGINEER	95430.0	SANTA CLARA, CA	05/20/2021	10/01/2021
CROSSING MINDS INC	MACHINE LEARNING ENGINEER	95493.0	SAN FRANCISCO, CA	09/11/2020	10/01/2020
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING ENGINEER	95500.0	MOUNTAIN VIEW, CA	01/10/2017	01/23/2017
ROCK CENTRAL LLC	MACHINE LEARNING ENGINEER	95500.0	DETROIT, MI	05/06/2021	05/24/2021
QUICKEN LOANS LLC	MACHINE LEARNING ENGINEER	95500.0	DETROIT, MI	06/25/2021	07/09/2021
QUICKEN LOANS LLC	MACHINE LEARNING ENGINEER	95500.0	DETROIT, MI	05/21/2020	10/01/2020
ROCK CENTRAL LLC	MACHINE LEARNING ENGINEER	95500.0	DETROIT, MI	11/08/2021	12/03/2021
MATROID INC	MACHINE LEARNING ENGINEER	96000.0	PALO ALTO, CA	03/08/2017	09/04/2017
PMX INC	MACHINE LEARNING ENGINEER	96000.0	PALATINE, IL	07/21/2021	08/02/2021
DIRECTLY SOFTWARE INC	MACHINE LEARNING ENGINEER	96075.0	SAN FRANCISCO, CA	02/15/2019	08/01/2019
XBRAIN INC	MACHINE LEARNING ENGINEER	96075.0	MENLO PARK, CA	02/28/2019	08/23/2019
SURVEYMONKEY INC	MACHINE LEARNING ENGINEER	96075.0	SAN MATEO, CA	03/12/2019	09/03/2019
QUANTIPHI INC	MACHINE LEARNING ENGINEER	96242.0	PRINCETON, NJ	06/02/2021	10/01/2021
QUANTIPHI INC	MACHINE LEARNING ENGINEER	96242.0	MARLBOROUGH, MA	06/06/2021	10/01/2021
LEARNABLE INC	MACHINE LEARNING ENGINEER	96242.0	BOSTON, MA	06/07/2021	10/01/2021
LEARNABLE INC	MACHINE LEARNING ENGINEER	96242.0	BOSTON, MA	06/07/2021	10/01/2021
QUANTIPHI INC	MACHINE LEARNING ENGINEER	96242.0	MARLBOROUGH, MA	06/09/2021	10/01/2021
LANDINGAI (US) CORP	MACHINE LEARNING ENGINEER	96325.0	PALO ALTO, CA	02/13/2018	08/13/2018
LANDINGAI(US) CORP	MACHINE LEARNING ENGINEER	96325.0	PALO ALTO, CA	03/26/2018	08/13/2018
LANDINGAI (US) CORP	MACHINE LEARNING ENGINEER	96325.0	PALO ALTO, CA	03/12/2018	09/10/2018
VIVANTE CORPORATION	MACHINE LEARNING ENGINEER	96325.0	SAN JOSE, CA	02/09/2018	02/20/2018
LANDINGAI(US) CORP	MACHINE LEARNING ENGINEER	96325.0	PALO ALTO, CA	03/26/2018	09/10/2018
OVERSTOCKCOM INC	MACHINE LEARNING ENGINEER	96471.0	MIDVALE, UT	04/01/2021	09/26/2021
MI SOFTECH INC	MACHINE LEARNING ENGINEER	96595.0	MIDDLETOWN, NJ	10/24/2019	10/29/2019
KALEPA CORPORATION	MACHINE LEARNING ENGINEER	96600.0	NEW YORK, NY	02/21/2020	08/21/2020
IMR SOFT LLC	MACHINE LEARNING ENGINEER	96600.0	WASHINGTON DC, DC	05/15/2020	10/01/2020
PUNCHH INC	MACHINE LEARNING ENGINEER	96616.0	SAN MATEO, CA	02/18/2021	06/01/2021
FRELII INC	MACHINE LEARNING ENGINEER	96803.0	LEHI, UT	03/16/2019	09/01/2019
UNITY TECHNOLOGIES SF	MACHINE LEARNING ENGINEER	96970.0	NEW YORK, NY	06/03/2022	10/01/2022
PANJIVA INC	MACHINE LEARNING ENGINEER	97000.0	CAMBRIDGE, MA	03/15/2018	09/01/2018
500PX INC	MACHINE LEARNING ENGINEER	97000.0	BURLINGAME, CA	05/13/2021	10/01/2021
GLODON (USA) SOFTWARE TECHNOLOGY COMPANY INC	MACHINE LEARNING ENGINEER	97000.0	SUNNYVALE, CA	03/13/2019	09/12/2019
GLODON (USA) SOFTWARE TECHNOLOGY COMPANY INC	MACHINE LEARNING ENGINEER	97000.0	SUNNYVALE, CA	03/13/2019	09/12/2019
MAGNIFI LLC	MACHINE LEARNING ENGINEER	97000.0	NEW YORK, NY	03/06/2020	09/04/2020
MAGNIFI LLC	MACHINE LEARNING ENGINEER	97000.0	NEW YORK, NY	03/06/2020	09/04/2020
PHDATA INC	MACHINE LEARNING ENGINEER	97000.0	MINNEAPOLIS, MN	03/14/2019	09/13/2019
PHDATA INC	MACHINE LEARNING ENGINEER	97000.0	MINNEAPOLIS, MN	03/14/2019	09/13/2019
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	97302.0	SAN DIEGO, CA	11/20/2017	05/22/2018
APPEN BUTLER HILL INC	MACHINE LEARNING ENGINEER	97302.0	SUNNYVALE, CA	01/27/2020	01/27/2020
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC	MACHINE LEARNING ENGINEER	97355.0	PHOENIX, AZ	05/01/2020	10/01/2020
SCHLUMBERGER TECHNOLOGY CORPORATION	MACHINE LEARNING ENGINEER	97677.0	HOUSTON, TX	01/15/2019	01/21/2019
ARMORBLOX INC	MACHINE LEARNING ENGINEER	97760.0	SEATTLE, WA	03/28/2022	06/01/2022
ARMORBLOX INC	MACHINE LEARNING ENGINEER	97760.0	SEATTLE, WA	03/28/2022	06/01/2022
WELCH ALLYN INC	MACHINE LEARNING ENGINEER	97850.0	SKANEATELES FALLS, NY	03/09/2019	09/08/2019
SCHLUMBERGER TECHNOLOGY CORPORATION	MACHINE LEARNING ENGINEER	98000.0	HOUSTON, TX	01/15/2020	02/28/2020
PERCEPTIVE AUTOMATA INC	MACHINE LEARNING ENGINEER	98000.0	SOMERVILLE, MA	03/14/2019	09/04/2019
SCHLUMBERGER TECHNOLOGY CORPORATION	MACHINE LEARNING ENGINEER	98000.0	HOUSTON, TX	07/24/2020	09/01/2020
LANDINGAI(US) CORP	MACHINE LEARNING ENGINEER	98000.0	PALO ALTO, CA	03/27/2018	09/26/2018
THE VANGUARD GROUP	MACHINE LEARNING ENGINEER	98710.0	MALVERN, PA	05/21/2020	10/01/2020
HOTWIRE INC	MACHINE LEARNING ENGINEER	98724.0	SEATTLE, WA	03/13/2020	09/02/2020
INTEGRATION APPLIANCE INC	MACHINE LEARNING ENGINEER	98904.0	LEWISVILLE, TX	09/07/2022	09/15/2022
NCS PEARSON INC	MACHINE LEARNING ENGINEER	98999.0	CENTENNIAL, CO	06/02/2020	10/01/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	99154.0	SAN DIEGO, CA	12/20/2017	06/15/2018
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	99195.0	SAN DIEGO, CA	02/01/2019	07/30/2019
FLAGSHIP LABS 65 INC	MACHINE LEARNING ENGINEER	99432.0	CAMBRIDGE, MA	08/06/2019	08/19/2019
GLIPPED INC	MACHINE LEARNING ENGINEER	99632.0	ANAHEIM, CA	05/18/2021	10/01/2021
ORIGINATE INC	MACHINE LEARNING ENGINEER	99632.0	LOS ANGELES, CA	03/23/2021	09/22/2021
COLABERRY INC	MACHINE LEARNING ENGINEER	99944.0	BOSTON, MA	11/26/2021	11/29/2021
QUANTIPHI INC	MACHINE LEARNING ENGINEER	99950.0	MARLBOROUGH, MA	05/13/2022	10/01/2022
PATH ROBOTICS INC	MACHINE LEARNING ENGINEER	99986.0	COLUMBUS, OH	05/02/2022	10/01/2022
CASTLE GLOBAL INC	MACHINE LEARNING ENGINEER	100000.0	SAN FRANCISCO, CA	02/21/2018	04/30/2018
PARKLAND CENTER FOR CLINICAL INNOVATION	MACHINE LEARNING ENGINEER	100000.0	DALLAS, TX	07/13/2022	01/01/2023
MODEL MEDICINES INC	MACHINE LEARNING ENGINEER	100000.0	LA JOLLA, CA	04/23/2021	10/01/2021
INFOLOB SOLUTIONS INC	MACHINE LEARNING ENGINEER	100000.0	LAKE BUENA VISTA, FL	03/22/2018	09/21/2018
WORTHIX CORP	MACHINE LEARNING ENGINEER	100000.0	ALPHARETTA, GA	05/17/2021	10/01/2021
QUICKEN LOANS LLC	MACHINE LEARNING ENGINEER	100000.0	DETROIT, MI	04/21/2020	10/01/2020
GORGIAS INC	MACHINE LEARNING ENGINEER	100000.0	SAN FRANCISCO, CA	04/22/2020	09/30/2020
SLINGSHOT AEROSPACE INC	MACHINE LEARNING ENGINEER	100000.0	EL SEGUNDO, CA	02/08/2021	08/02/2021
FARMWISE LABS INC	MACHINE LEARNING ENGINEER	100000.0	SAN FRANCISCO, CA	03/07/2018	09/06/2018
VOYAGER SEARCH	MACHINE LEARNING ENGINEER	100000.0	REDLANDS, CA	03/02/2018	09/01/2018
QUANTIPHI INC	MACHINE LEARNING ENGINEER	100000.0	SUNNYVALE, CA	03/21/2019	09/15/2019
ETEK IT SERVICES INC	MACHINE LEARNING ENGINEER	100000.0	CHARLOTTE, NC	03/06/2019	03/25/2019
CLEERLY INC	MACHINE LEARNING ENGINEER	100000.0	NEW YORK, NY	03/24/2019	09/15/2019
KRYPTO IT SOLUTIONS INC	MACHINE LEARNING ENGINEER	100000.0	NEW YORK, NY	04/22/2019	05/06/2019
LIRIO LLC	MACHINE LEARNING ENGINEER	100000.0	KNOXVILLE, TN	03/22/2019	09/18/2019
LIRIO LLC	MACHINE LEARNING ENGINEER	100000.0	KNOXVILLE, TN	03/22/2019	09/18/2019
BANJO INC	MACHINE LEARNING ENGINEER	100000.0	SOUTH JORDAN, UT	01/22/2020	01/24/2020
IMR SOFT LLC	MACHINE LEARNING ENGINEER	100000.0	WASHINGTON, DC	02/19/2020	02/25/2020
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	100000.0	NEW YORK, NY	03/06/2017	08/30/2017
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	100000.0	IRVINE, CA	02/25/2020	08/22/2020
SOLUGENIX CORPORATION	MACHINE LEARNING ENGINEER	100000.0	SCOTTSDALE, AZ	02/27/2020	08/25/2020
MAGNIFI LLC	MACHINE LEARNING ENGINEER	100000.0	BOULDER, CO	03/26/2021	09/15/2021
EVERYFIT INC	MACHINE LEARNING ENGINEER	100000.0	BOSTON, MA	01/15/2016	06/16/2016
SYRUP INC	MACHINE LEARNING ENGINEER	100000.0	ALLSTON, MA	04/15/2021	10/01/2021
AI ZWEI CORP	MACHINE LEARNING ENGINEER	100000.0	PURDYS, NY	09/01/2021	10/01/2021
BANJO INC	MACHINE LEARNING ENGINEER	100000.0	SOUTH JORDAN, UT	05/19/2020	10/01/2020
THE NIELSEN COMPANY (US) LLC	MACHINE LEARNING ENGINEER	100000.0	NEW YORK, NY	02/05/2016	07/25/2016
PHYN LLC	MACHINE LEARNING ENGINEER	100000.0	SEATTLE, WA	03/15/2019	09/13/2019
LIRIO LLC	MACHINE LEARNING ENGINEER	100000.0	KNOXVILLE, TN	03/22/2019	09/21/2019
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	100000.0	IRVINE, CA	03/04/2019	09/01/2019
ROKID INC	MACHINE LEARNING ENGINEER	100000.0	SAN CARLOS, CA	03/19/2018	09/18/2018
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	100000.0	AUSTIN, TX	08/23/2017	10/01/2017
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	100000.0	AUSTIN, TX	08/23/2017	10/02/2017
VIDEAHEALTH INC	MACHINE LEARNING ENGINEER	100000.0	CAMBRIDGE, MA	09/04/2020	09/14/2020
AI ZWEI CORP	MACHINE LEARNING ENGINEER	100000.0	NEW YORK, NY	09/29/2021	10/01/2021
SUITED INC	MACHINE LEARNING ENGINEER	100000.0	KING OF PRUSSIA, PA	10/26/2021	12/10/2021
MICRON TECHNOLOGY INC	MACHINE LEARNING ENGINEER	100000.0	BOISE, ID	04/18/2022	09/14/2022
BIOTRILLION INC	MACHINE LEARNING ENGINEER	100000.0	SAN FRANCISCO, CA	05/20/2022	10/01/2022
CNET GLOBAL SOLUTIONS INC	MACHINE LEARNING ENGINEER	100000.0	RICHARDSON, TX	05/24/2022	10/01/2022
CHEP INTERNATIONAL LLC	MACHINE LEARNING ENGINEER	100000.0	ORLANDO, FL	05/25/2022	10/01/2022
RED HAT INC	MACHINE LEARNING ENGINEER	100027.0	RALEIGH, NC	02/16/2022	02/21/2022
DEKA RESEARCH & DEVELOPMENT CORP	MACHINE LEARNING ENGINEER	100360.0	MANCHESTER, NH	08/26/2021	01/15/2022
THE VANGUARD GROUP	MACHINE LEARNING ENGINEER	100555.0	MALVERN, PA	04/13/2020	10/01/2020
IMR SOFT LLC	MACHINE LEARNING ENGINEER	100600.0	NEW YORK CITY, NY	10/07/2020	11/02/2020
IMR SOFT LLC	MACHINE LEARNING ENGINEER	100600.0	NEW YORK CITY, NY	02/04/2021	02/08/2021
QUANTIPHI INC	MACHINE LEARNING ENGINEER	100651.0	PRINCETON, NJ	06/05/2020	10/01/2020
FISCALNOTE INC	MACHINE LEARNING ENGINEER	100786.0	MADISON, WI	11/24/2021	11/24/2021
BRAMBLES USA INC	MACHINE LEARNING ENGINEER	100980.0	ORLANDO, FL	02/16/2022	02/16/2022
BUSINESSOLVERCOM INC	MACHINE LEARNING ENGINEER	101000.0	SEATTLE, WA	03/17/2017	09/15/2017
TOTUM RISK LLC	MACHINE LEARNING ENGINEER	101000.0	BOULDER, CO	03/26/2021	09/18/2021
CAPRUS IT INC	MACHINE LEARNING ENGINEER	101067.0	NEW YORK, NY	04/16/2020	10/01/2020
GROUPON INC	MACHINE LEARNING ENGINEER	101600.0	CHICAGO, IL	01/18/2022	02/28/2022
PELOTON INTERACTIVE INC	MACHINE LEARNING ENGINEER	101754.0	NEW YORK, NY	04/22/2022	10/01/2022
INNOPEAK TECHNOLOGY INC	MACHINE LEARNING ENGINEER	102357.0	CITY OF BELLEVUE, WA	04/28/2020	10/01/2020
ADECCO GROUP NA/MODIS INC	MACHINE LEARNING ENGINEER	102416.0	DEARBORN, MI	04/02/2021	09/26/2021
TULIP INTERFACES INC	MACHINE LEARNING ENGINEER	102500.0	SOMERVILLE, MA	05/25/2021	10/01/2021
WEST VIRGINIA UNIVERSITY HOSPITALS INC	MACHINE LEARNING ENGINEER	103000.0	MORGANTOWN, WV	08/05/2021	09/06/2021
CLOUDWICK TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103064.0	NEWARK, CA	03/07/2019	08/08/2019
CLOUDWICK TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103064.0	NEWARK, CA	03/07/2019	08/08/2019
NVIDIA CORPORATION	MACHINE LEARNING ENGINEER	103173.0	SANTA CLARA, CA	03/08/2018	08/26/2018
NVIDIA CORPORATION	MACHINE LEARNING ENGINEER	103173.0	SANTA CLARA, CA	03/08/2018	08/26/2018
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	04/23/2020	10/01/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	01/17/2020	07/10/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	10/07/2020	10/19/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	07/22/2020	07/25/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	07/23/2020	10/01/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	07/23/2020	10/01/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	103400.0	SAN DIEGO, CA	09/23/2020	10/01/2020
FLOCK GROUP INC	MACHINE LEARNING ENGINEER	104021.0	SAN FRANCISCO, CA	05/18/2022	10/01/2022
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	08/03/2021	08/12/2021
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	07/29/2021	08/12/2021
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	11/17/2021	12/01/2021
N1 SOLUTIONS LLC	MACHINE LEARNING ENGINEER	104291.0	SUNNYVALE, CA	02/10/2022	02/16/2022
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	03/22/2022	09/16/2022
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	03/22/2022	09/06/2022
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	03/22/2022	09/03/2022
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	03/23/2022	09/08/2022
NOD INC	MACHINE LEARNING ENGINEER	104291.0	SANTA CLARA, CA	04/08/2022	10/01/2022
ZOOM VIDEO COMMUNICATIONS INC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	04/27/2022	05/09/2022
DOXEL INC	MACHINE LEARNING ENGINEER	104291.0	MENLO PARK, CA	05/09/2022	10/01/2022
ROBOTICS TECHNOLOGIES LLC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	06/01/2022	10/01/2022
DOXEL INC	MACHINE LEARNING ENGINEER	104291.0	MENLO PARK, CA	06/03/2022	10/01/2022
EDCAST INC	MACHINE LEARNING ENGINEER	104291.0	MOUNTAIN VIEW, CA	06/06/2022	10/01/2022
EDCAST LLC	MACHINE LEARNING ENGINEER	104291.0	MOUNTAIN VIEW, CA	06/14/2022	10/01/2022
ROBOTICS TECHNOLOGIES LLC	MACHINE LEARNING ENGINEER	104291.0	SAN JOSE, CA	06/22/2022	10/01/2022
CAVNUE LLC	MACHINE LEARNING ENGINEER	105000.0	DETROIT, MI	08/12/2021	10/01/2021
BLUE RIVER TECHNOLOGY	MACHINE LEARNING ENGINEER	105000.0	SUNNYVALE, CA	05/07/2020	10/01/2020
SMULE INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	02/26/2019	08/15/2019
VUNGLE INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	02/19/2015	08/19/2015
214 TECHNOLOGIES INC (DBA TRUEFACE)	MACHINE LEARNING ENGINEER	105000.0	VENICE, CA	02/19/2020	08/19/2020
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	105000.0	IRVINE, CA	02/25/2020	08/22/2020
ENOVANT TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	105000.0	CAMBRIDGE, MA	03/24/2021	09/16/2021
ENOVANT TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	105000.0	CAMBRIDGE, MA	02/27/2020	08/25/2020
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	105000.0	IRVINE, CA	03/02/2020	08/22/2020
SYNAPSE FINANCIAL TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	03/05/2020	08/19/2020
ROOT AI INC	MACHINE LEARNING ENGINEER	105000.0	WOBURN, MA	03/06/2020	09/05/2020
WONDERLIC INC	MACHINE LEARNING ENGINEER	105000.0	VERNON HILLS, IL	04/13/2021	10/01/2021
VUNGLE INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	02/19/2015	08/19/2015
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	105000.0	IRVINE, CA	02/27/2018	08/25/2018
FORD MOTOR COMPANY	MACHINE LEARNING ENGINEER	105000.0	ANN ARBOR, MI	09/22/2021	09/27/2021
SYNAPSE FINANCIAL TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	05/18/2020	10/01/2020
LAYERED INSIGHT INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	03/28/2018	09/10/2018
BANJO INC	MACHINE LEARNING ENGINEER	105000.0	SOUTH JORDAN, UT	05/21/2020	10/01/2020
CASTLE GLOBAL INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	02/23/2018	04/30/2018
LAYERED INSIGHT INC	MACHINE LEARNING ENGINEER	105000.0	SAN FRANCISCO, CA	03/14/2018	09/10/2018
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	105000.0	IRVINE, CA	02/27/2018	08/25/2018
THE VANGUARD GROUP	MACHINE LEARNING ENGINEER	105000.0	MALVERN, PA	03/12/2019	09/11/2019
ROOT AI INC	MACHINE LEARNING ENGINEER	105000.0	SOMERVILLE, MA	03/08/2019	08/28/2019
QUICKEN LOANS INC	MACHINE LEARNING ENGINEER	105000.0	DETROIT, MI	07/30/2019	08/12/2019
QUICKEN LOANS INC	MACHINE LEARNING ENGINEER	105000.0	DETROIT, MI	08/05/2019	08/12/2019
PEXESO INC	MACHINE LEARNING ENGINEER	105000.0	LOS ANGELES, CA	03/21/2019	09/15/2019
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	105000.0	NEW YORK, NY	03/06/2019	09/05/2019
